,borough_name,london_brough_links_1,london_brough_links_2
0,Camden,camden-london-borough,Camden (London Borough)
1,Greenwich,greenwich-royal-borough,Greenwich (Royal Borough)%2C London
2,Hackney,hackney-london-borough,Hackney (London Borough)%2C London
3,Hammersmith,hammersmith-and-fulham-london-borough,Hammersmith and Fulham (London Borough)%2C London
4,Islington,islington-london-borough,Islington (London Borough)%2C London
5,Kensington and Chelsea,kensington-and-chelsea-royal-borough,Kensington and Chelsea (Royal Borough)%2C London
6,Lambeth,lambeth-london-borough,Lambeth (London Borough)%2C London
7,Lewisham,lewisham-london-borough,Lewisham (London Borough)%2C London
8,Southwark,southwark-london-borough,Southwark (London Borough)%2C London
9,Tower Hamlets,tower-hamlets-london-borough,Tower Hamlets (London Borough)%2C London
10,Wandsworth,wandsworth-london-borough,Wandsworth (London Borough)%2C London
11,Westminster,westminster-london-borough,Westminster (London Borough)%2C London
12,Barking,barking-and-dagenham-london-borough,Barking and Dagenham (London Borough)%2C London
13,Barnet,barnet-london-borough,Barnet (London Borough)%2C London
14,Bexley,bexley-london-borough,Bexley (London Borough)%2C London
15,Brent,brent-london-borough,Brent (London Borough)%2C London
16,Bromley,bromley-london-borough,Bromley (London Borough)%2C London
17,Croydon,croydon-london-borough,Croydon (London Borough)%2C London
18,Ealing,ealing-london-borough,Ealing (London Borough)%2C London
19,Enfield,enfield-london-borough,Enfield (London Borough)%2C London
20,Haringey,haringey-london-borough,Haringey (London Borough)%2C London
21,Harrow,harrow-london-borough,Harrow (London Borough)%2C London
22,Havering,havering-london-borough,havering-london-borough
23,Hillingdon,hillingdon-london-borough,Hillingdon (London Borough)%2C London
24,Hounslow,hounslow-london-borough,Hounslow (London Borough)%2C London
25,Kingston upon Thames,kingston-upon-thames-royal-borough,Kingston upon Thames (Royal Borough)%2C London
26,Merton,merton-london-borough,Merton (London Borough)%2C London
27,Newham,newham-london-borough,Newham (London Borough)%2C London
28,Redbridge,redbridge-london-borough,Redbridge (London Borough)%2C London
29,Richmond upon Thames,richmond-upon-thames-london-borough,Richmond upon Thames (London Borough)%2C London
30,Sutton,sutton-london-borough,Sutton (London Borough)%2C London
31,Waltham Forest,waltham-forest-london-borough,Waltham Forest (London Borough)%2C London
32,City of London,city-of-london-london-borough,City of London (London Borough)%2C London
