,latitude,longitude,close_stations
0,51.523426,-0.112205,"[['Holborn', 51.5176447, -0.1193216], ['Covent Garden', 51.5130521, -0.1244469], ['Chancery Lane', 51.5181135, -0.1123596], [""King's Cross St Pancras"", 51.5307113, -0.1243426], ['Barbican', 51.5201886, -0.0986924], ['Farringdon', 51.5208236, -0.1052085], ['Euston', 51.5285438, -0.1322216], ['Euston', 51.5284038, -0.131945], ['Farringdon', 51.5208186, -0.1052548], [""King's Cross St Pancras"", 51.5315357, -0.1226649], [""King's Cross St Pancras"", 51.5309643, -0.1216069], [""King's Cross St Pancras"", 51.5295915, -0.124545], ['Chancery Lane', 51.5181175, -0.1123598], ['Holborn', 51.5176949, -0.119335], [""St. Paul's"", 51.5155459, -0.0991304], [""King's Cross St Pancras"", 51.5297729, -0.1246817], ['Barbican', 51.5201755, -0.0986877], [""King's Cross St Pancras"", 51.5315733, -0.1230086], ['Holborn', 51.5174178, -0.1204668], ['Holborn', 51.5170029, -0.1205074], ['Covent Garden', 51.5131374, -0.1240887], [""St. Paul's"", 51.5154842, -0.0991571], ['Temple', 51.5109669, -0.114223], ['Temple', 51.5109925, -0.1142341], [""King's Cross St Pancras"", 51.5311084, -0.121758], [""King's Cross St Pancras"", 51.5305509, -0.1243368], ['Russell Square', 51.5230956, -0.1242071], ['Russell Square', 51.5230976, -0.1242948], ['Angel', 51.5314876, -0.1047228]]"
1,51.556667,-0.179551,"[['Hampstead', 51.5566155, -0.1782918], ['Swiss Cottage', 51.5436447, -0.174687], ['Finchley Road', 51.5472622, -0.180773], ['Finchley Road', 51.5473446, -0.1807133], ['Finchley Road', 51.5471468, -0.1808508], ['Finchley Road', 51.5472377, -0.180791], ['West Hampstead', 51.54672, -0.1904913], ['West Hampstead', 51.5466774, -0.1904852], ['West Hampstead', 51.5468718, -0.1905229], ['West Hampstead', 51.546841, -0.1905184], ['Belsize Park', 51.5503687, -0.164574], ['Belsize Park', 51.5502453, -0.1647045], ['Hampstead', 51.5565357, -0.178534], ['Swiss Cottage', 51.5436047, -0.1750793]]"
2,51.55354,-0.187055,"[['Hampstead', 51.5566155, -0.1782918], ['Swiss Cottage', 51.5436447, -0.174687], ['Finchley Road', 51.5472622, -0.180773], ['Finchley Road', 51.5473446, -0.1807133], ['Finchley Road', 51.5471468, -0.1808508], ['Finchley Road', 51.5472377, -0.180791], ['Kilburn', 51.546885, -0.2048094], ['West Hampstead', 51.54672, -0.1904913], ['Kilburn', 51.5468633, -0.2048232], ['Kilburn', 51.5470289, -0.2047482], ['Kilburn', 51.5470572, -0.2047456], ['West Hampstead', 51.5466774, -0.1904852], ['West Hampstead', 51.5468718, -0.1905229], ['West Hampstead', 51.546841, -0.1905184], ['Hampstead', 51.5565357, -0.178534], ['Swiss Cottage', 51.5436047, -0.1750793]]"
3,51.521541,-0.165689,"[['Paddington', 51.5154494, -0.1754622], ['Baker Street', 51.5232567, -0.1576381], ['Lancaster Gate', 51.5118158, -0.1751204], ['Bond Street', 51.5143325, -0.1490027], [""Regent's Park"", 51.5236375, -0.1466069], ['Edgware Road', 51.5204413, -0.1702657], ['Paddington', 51.5163808, -0.1758811], ['Baker Street', 51.5229657, -0.1569841], ['Baker Street', 51.522259, -0.1566498], ['Baker Street', 51.5231217, -0.1575496], ['Paddington', 51.5184283, -0.1786485], ['Paddington', 51.518488, -0.178584], ['Edgware Road', 51.5202152, -0.1667443], ['Marylebone', 51.5222403, -0.1635969], ['Paddington', 51.5154037, -0.1754503], ['Bond Street', 51.5143809, -0.1490106], ['Lancaster Gate', 51.5118713, -0.1751449], ['Edgware Road', 51.5201004, -0.1666628], ['Edgware Road', 51.5201924, -0.1667287], ['Edgware Road', 51.5203099, -0.1668361], ['Royal Oak', 51.5189969, -0.1866198], ['Baker Street', 51.5222984, -0.1566779], ['Bond Street', 51.5142841, -0.1489948], ['Marble Arch', 51.5134792, -0.1583052], ['Marble Arch', 51.5133257, -0.1582648], ['Baker Street', 51.5235134, -0.1576374], ['Warwick Avenue', 51.5230715, -0.1832366], ['Warwick Avenue', 51.5229412, -0.1834674], ['Edgware Road', 51.5204793, -0.170304], ['Paddington', 51.5163981, -0.1754608], ['Marylebone', 51.5222487, -0.1635625], [""Regent's Park"", 51.5236389, -0.1465967], ['Baker Street', 51.5231319, -0.1575344]]"
4,51.556968,-0.162663,"[['Hampstead', 51.5566155, -0.1782918], ['Belsize Park', 51.5503687, -0.164574], ['Belsize Park', 51.5502453, -0.1647045], ['Hampstead', 51.5565357, -0.178534]]"
5,51.546977,-0.129251,"[['Camden Town', 51.53946, -0.1423225], ['Camden Town', 51.5395463, -0.1430747], ['Camden Town', 51.5396902, -0.1424036], ['Holloway Road', 51.5527471, -0.1130079], ['Camden Town', 51.5393752, -0.1430801], ['Kentish Town', 51.5503331, -0.1407436], ['Holloway Road', 51.5528661, -0.1131562], ['Caledonian Road', 51.5484586, -0.118305], ['Tufnell Park', 51.5569102, -0.1383729]]"
6,51.544624,-0.169279,"[['Hampstead', 51.5566155, -0.1782918], ['Chalk Farm', 51.5442018, -0.15347], ['Swiss Cottage', 51.5436447, -0.174687], ['Finchley Road', 51.5472622, -0.180773], ['Finchley Road', 51.5473446, -0.1807133], ['Finchley Road', 51.5471468, -0.1808508], ['Finchley Road', 51.5472377, -0.180791], ['West Hampstead', 51.54672, -0.1904913], ['West Hampstead', 51.5466774, -0.1904852], ['West Hampstead', 51.5468718, -0.1905229], ['West Hampstead', 51.546841, -0.1905184], [""St. John's Wood"", 51.535435, -0.1740349], ['Belsize Park', 51.5503687, -0.164574], ['Belsize Park', 51.5502453, -0.1647045], ['Hampstead', 51.5565357, -0.178534], [""St. John's Wood"", 51.5354393, -0.1744718], ['Swiss Cottage', 51.5436047, -0.1750793]]"
7,51.557514,-0.163832,"[['Hampstead', 51.5566155, -0.1782918], ['Belsize Park', 51.5503687, -0.164574], ['Belsize Park', 51.5502453, -0.1647045], ['Hampstead', 51.5565357, -0.178534]]"
8,51.557137,-0.189328,"[['Hampstead', 51.5566155, -0.1782918], ['Finchley Road', 51.5472622, -0.180773], ['Finchley Road', 51.5473446, -0.1807133], ['Finchley Road', 51.5471468, -0.1808508], ['Finchley Road', 51.5472377, -0.180791], ['West Hampstead', 51.54672, -0.1904913], ['West Hampstead', 51.5466774, -0.1904852], ['West Hampstead', 51.5468718, -0.1905229], ['West Hampstead', 51.546841, -0.1905184], ['Hampstead', 51.5565357, -0.178534]]"
9,51.54324,-0.163764,"[['Chalk Farm', 51.5442018, -0.15347], ['Swiss Cottage', 51.5436447, -0.174687], ['Camden Town', 51.5395463, -0.1430747], ['Finchley Road', 51.5472622, -0.180773], ['Finchley Road', 51.5473446, -0.1807133], ['Finchley Road', 51.5471468, -0.1808508], ['Finchley Road', 51.5472377, -0.180791], ['Camden Town', 51.5393752, -0.1430801], [""St. John's Wood"", 51.535435, -0.1740349], ['Belsize Park', 51.5503687, -0.164574], ['Belsize Park', 51.5502453, -0.1647045], [""St. John's Wood"", 51.5354393, -0.1744718], ['Swiss Cottage', 51.5436047, -0.1750793]]"
